Put Gamma,Put Vega,Put Theta,Put Delta,PCR,Put POP %,Put Volume,Put OI Change,Put Change %,Put OI,Put Bid Price,Put Offer Price,Put Intrinsic Value(Fut),Put Intrinsic Value(Spot),Put Time Value,Put LTP,Strike,IV,Instrument,Call LTP,Call Time Value,Call Intrinsic Value(Spot),Call Intrinsic Value(Fut),Call Bid Price,Call Offer Price,Call OI,Call Change %,Call OI Change,Call Volume,Call POP %,Call Delta,Call Theta,Call Vega,Call Gamma
0.00020,1.42,-5.83,-0.97,0,0,219600.00,-7875.00,-3.20,235425.00,631.15,634.35,628.70,632.10,7.00,635.70,25500,17.70,NIFTY,4.40,4.40,--,--,4.35,4.40,9356625.00,14.00,1148550.00,44029125.00,0,0.03,-5.83,1.42,0.00020
0.00020,1.21,-5.13,-0.97,0,1,4650.00,375.00,3.20,11925.00,678.85,685.90,678.70,682.10,-0.65,678.05,25550,18.20,NIFTY,3.65,3.65,--,--,3.65,3.75,2110575.00,43.00,634350.00,19267800.00,0,0.03,-5.13,1.21,0.00020
0.00020,1.07,-4.70,-0.98,--,0,14625.00,-3750.00,-19.10,15900.00,728.35,736.90,728.70,732.10,15.40,744.10,25600,18.90,NIFTY,3.20,3.20,--,--,3.20,3.25,5561925.00,32.70,1370775.00,30282375.00,0,0.02,-4.70,1.07,0.00020
0.00010,0.93,-4.23,-0.98,--,1,4200.00,675.00,8.60,8550.00,778.30,784.75,778.70,782.10,-18.25,760.45,25650,19.50,NIFTY,2.75,2.75,--,--,2.70,2.75,1866675.00,63.60,726000.00,28933725.00,0,0.02,-4.23,0.93,0.00010
0.00010,0.81,-3.78,-0.98,--,1,12150.00,--,--,14850.00,828.05,834.80,828.70,832.10,-22.95,805.75,25700,20.10,NIFTY,2.35,2.35,--,--,2.35,2.40,4595775.00,7.60,323550.00,31015950.00,0,0.02,-3.78,0.81,0.00010
0.00010,0.72,-3.50,-0.98,--,1,7275.00,75.00,2.60,2925.00,873.15,885.35,878.70,882.10,-20.45,858.25,25750,20.80,NIFTY,2.10,2.10,--,--,2.05,2.10,2055525.00,18.50,321150.00,24210900.00,0,0.02,-3.50,0.72,0.00010
0.00010,0.66,-3.33,-0.99,--,0,9225.00,-975.00,-8.10,11025.00,923.90,931.35,928.70,932.10,2.35,931.05,25800,21.60,NIFTY,1.95,1.95,--,--,1.90,1.95,4849950.00,12.60,541650.00,26319825.00,0,0.01,-3.33,0.66,0.00010
0.00010,0.61,-3.16,-0.99,--,1,4125.00,825.00,18.00,5400.00,972.90,984.90,978.70,982.10,-10.45,968.25,25850,22.30,NIFTY,1.80,1.80,--,--,1.80,1.85,1398900.00,30.70,328575.00,12098025.00,0,0.01,-3.16,0.61,0.00010
0.00010,0.57,-3.04,-0.99,--,1,3600.00,-525.00,-8.50,5625.00,1027.75,1036.30,1028.70,1032.10,-2.60,1026.10,25900,23.10,NIFTY,1.70,1.70,--,--,1.65,1.70,3240900.00,14.30,405900.00,14503875.00,0,0.01,-3.04,0.57,0.00010
0.00010,0.54,-2.99,-0.99,--,0,--,--,--,2550.00,1048.20,1104.00,1078.70,1082.10,227.75,1306.45,25950,23.90,NIFTY,1.65,1.65,--,--,1.60,1.65,987300.00,25.00,197250.00,4075800.00,0,0.01,-2.99,0.54,0.00010
